,sofifa_id,short_name,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
2737,216289,M. Diemers,CMCAMLW,3200000,1,10000,175,68,Feyenoord,Netherlands,No,69,76,75,59,68.2,76.2,72,72.2,59,69.66666667
2741,216692,S. Torrico,GK,350000,1,6000,183,84,San Lorenzo de Almagro,Argentina,No,,,,16.33333333,19.2,18.6,47.8,42,16.33333333,25.66666667
2742,216701,H. Menosse,CB,1000000,1,2000,185,77,Deportivo Cali,Uruguay,No,40,47,41,72,47,42,56,65.4,72,58.5
2743,216793,J. Beauguel,ST,3000000,1,1000,196,98,FC Viktoria Plze?,France,No,72,52,68,23.66666667,62,59,61,71,23.66666667,60.66666667
2744,216813,Bruno Henrique,CDMCM,2100000,1,27000,179,75,Al Ittihad,Brazil,No,67,71,69,70.33333333,65.4,71.2,62.8,74.8,70.33333333,70.33333333
2745,217620,A. Seck,CB,2800000,1,17000,192,95,Royal Antwerp FC,Senegal,No,47,57,58,69.66666667,53,50.8,58.8,71,69.66666667,56.33333333
2746,217714,P. Arriola,RMCAMRW,3600000,1,8000,168,66,D.C. United,United States,Yes,67,67,73,59.66666667,61.6,65,77.6,73.2,59.66666667,67.66666667
2747,217845,A. Hjulsager,CAMCMLW,3800000,1,18000,175,72,KAA Gent,Denmark,No,68,72,74,63.33333333,64.2,70.6,72.6,73.4,63.33333333,69.66666667
2750,218746,Pozo,CAMCMLM,4000000,1,16000,171,67,Rayo Vallecano,Spain,Yes,72,71,75,61.33333333,68.2,70.4,75.4,64.8,61.33333333,62.83333333
2751,218936,Rafa Soares,LB,3700000,1,9000,177,70,Vit?ria de Guimar?es,Portugal,No,62,70,71,70.66666667,63.4,70,73.4,70,70.66666667,64
2752,218981,H. Palacios,RBCBRM,2800000,1,16000,181,76,Elche CF,Colombia,No,35,61,61,69,57,49.4,74.8,61.8,69,58.83333333
2754,219728,Edgar M?ndez,RMLM,2500000,1,19000,187,78,Deportivo Alav?s,Spain,No,71,70,70,38,71.2,65.6,65.8,72.8,38,66.66666667
2755,219787,A. Mosquera,CBRB,2100000,1,18000,182,80,Club Le?n,Colombia,No,42,57,54,74.33333333,53.8,49.4,68.2,64.6,74.33333333,54
2758,220348,Iza Carcel?n,RBRM,2800000,1,22000,174,70,C?diz CF,Spain,No,59,67,71,69.66666667,60.4,70.2,72.6,68.8,69.66666667,67.33333333
2759,220414,Diego Rico,LBLWBCB,2800000,1,23000,183,76,Real Sociedad,Spain,Yes,57,69,69,70.66666667,60.8,68.6,70,73.6,70.66666667,64.16666667
2760,220475,A. Grassi,CM,4000000,1,25000,183,75,Cagliari,Italy,No,63,72,74,65.33333333,64.8,70,66.8,63.2,65.33333333,68.66666667
2762,220854,?. Guti?rrez,CMCDM,4000000,1,14000,178,68,PSV,Mexico,Yes,70,73,73,63,65.8,71.6,70.8,66.4,63,68
2763,220932,L. Kalini?,GK,1600000,1,700,201,96,Hajduk Split,Croatia,Yes,,,,15.66666667,15,14.6,37.6,43.4,15.66666667,31.83333333
2766,221584,J. Rinne,GK,2800000,1,10000,188,86,Aalborg BK,Sweden,No,,,,17.66666667,18.8,20.6,48.4,44,17.66666667,36
2768,221885,P. Seguin,CM,3700000,1,20000,186,79,SpVgg Greuther F?rth,Germany,No,59,69,71,67.33333333,61.8,62.8,67.8,71.6,67.33333333,64.33333333
2771,221969,F. Mladenovi?,LMLB,3000000,1,10000,180,64,Legia Warszawa,Serbia,No,63,69,73,62.33333333,64,69.6,78.6,67.2,62.33333333,63
2773,222428,J. Komar,CB,5500000,1,10000,190,83,Club Atl?tico Talleres,Argentina,No,36,53,54,72.66666667,48.6,47.8,62.4,59.6,72.66666667,58.16666667
2775,222671,Everaldo,STLM,3000000,1,10000,181,80,Kashima Antlers,Brazil,No,73,61,70,41,68.2,63.2,71.8,75.8,41,62
2776,222729,Gustavo,ST,3600000,1,11000,189,83,Jeonbuk Hyundai Motors,Brazil,No,74,48,66,19,65,49.6,67.2,72.6,19,59.66666667
2777,222844,Walace,CDMCM,3400000,1,13000,188,75,Udinese Calcio,Brazil,Yes,66,68,69,66.66666667,62.8,64.4,65.2,69.2,66.66666667,68.33333333
2779,223139,A. Zedadka,RB,3700000,1,15000,173,72,Clermont Foot 63,France,No,55,56,74,68.66666667,57.8,58,78.8,56,68.66666667,56.66666667
2780,223241,M. Ben?tez,LBCM,2600000,1,12000,178,73,Defensa y Justicia,Argentina,No,67,74,71,68.66666667,65.8,73.4,73,77.8,68.66666667,71
2781,223297,Carra?a,RB,2800000,1,11000,177,70,Belenenses SAD,Portugal,No,59,68,70,70,60.2,68.2,70.8,73.6,70,66
2782,223313,H. Arslan,CMCDM,2400000,1,15000,186,76,Demir Grup Sivasspor,Turkey,No,69,67,74,71,63.2,67.2,64.2,77.2,71,69.33333333
2783,223573,Munir,GK,1500000,1,9000,190,89,Ataka? Hatayspor,Morocco,No,,,,18,21.2,24.8,48.8,49.4,18,30.16666667
2784,223593,J. Correa,ST,3100000,1,20000,184,86,Racing Club,Argentina,No,73,52,70,24.66666667,62.6,49.8,62.2,76.4,24.66666667,59
2786,223717,D. Tok?z,CDMCMRB,4100000,1,19000,180,75,Trabzonspor,Turkey,No,65,69,71,72.66666667,65,66.2,70.2,70.2,72.66666667,65.83333333
2788,223978,Manu Garc?a,CAMSTLM,7000000,1,8000,169,66,Deportivo Alav?s,Spain,No,69,72,75,38.33333333,67.6,72,78.2,62.4,38.33333333,59.83333333
2789,224019,Pedro Chirivella,CDMCM,4000000,1,16000,178,66,FC Nantes,Spain,No,52,70,72,67.33333333,56.8,65.2,68.4,63.6,67.33333333,64.83333333
2790,224075,Andr? Sim?es,CDMCM,2100000,1,1000,177,76,AEK Athens,Portugal,No,70,70,73,73,67.2,67,74.2,75.6,73,67.5
2791,224103,E. Aguirre,LBLM,6000000,1,28000,171,67,CF Monterrey,Mexico,No,54,68,70,66.66666667,56,58.8,81.4,71.2,66.66666667,64.16666667
2792,224301,K. ?widerski,ST,4700000,1,1000,184,78,PAOK,Poland,No,74,61,71,23.66666667,67.2,59.8,69,70,23.66666667,63.16666667
2793,224415,Luis Rioja,LM,3200000,1,19000,175,68,Deportivo Alav?s,Spain,No,67,69,75,32,57.4,69.8,78.8,63,32,54.33333333
2794,224423,M. Wittek,LWBLB,3700000,1,13000,173,70,Vitesse,Germany,No,62,66,72,67.33333333,63,71,78.2,72.4,67.33333333,59.83333333
2795,224428,J. Otero,RMSTRW,3600000,1,18000,182,70,Santos Laguna,Colombia,No,74,65,74,25.33333333,64.4,68.4,79.4,79.8,25.33333333,57.83333333
2796,224461,W. Montoya,RMRWCM,3200000,1,44000,173,72,Cruz Azul,Argentina,No,61,69,74,53,57,68,76,69.6,53,60.66666667
2797,224537,Iago,CB,2500000,1,20000,188,83,Al Taawoun,Brazil,No,31,48,53,74,47.4,44.4,54.6,64.8,74,54
2798,224538,Pedro Nuno,STLMLW,4000000,1,8000,174,64,Belenenses SAD,Portugal,No,74,76,77,31.66666667,72.6,77,72.6,70,31.66666667,68.5
2799,224599,Yan Junling,GK,2000000,1,14000,191,83,Shanghai Port FC,China,No,,,,13,19,21,49,51,13,35
2800,224718,T. Antalyal?,CDMCM,3600000,1,37000,180,71,Galatasaray SK,Turkey,No,63,71,69,69,60.4,65.6,66.2,72,69,66.5
2801,224808,G. Ferrari,CB,2800000,1,24000,189,82,U.S. Sassuolo Calcio,Italy,No,27,39,49,74.33333333,38.2,40.2,54.2,58.2,74.33333333,48.16666667
2802,224921,Adri?n Mar?n,LBLM,4300000,1,14000,181,73,Futebol Clube de Famalic?o,Spain,Yes,46,63,69,72.66666667,58.2,58.6,66.8,61.4,72.66666667,58.83333333
2803,224949,J. Dilrosun,LM,4800000,1,28000,174,74,FC Girondins de Bordeaux,Netherlands,No,63,63,79,40.33333333,60.2,65.6,78.6,54.8,40.33333333,51.5
2806,225182,J. Barrera,RMCAMRW,3600000,1,2000,171,73,Atl?tico Nacional,Colombia,No,65,74,75,46.66666667,60.8,72.6,76.2,64,46.66666667,57.5
2807,225200,Kike Barja,RMLM,4800000,1,19000,178,69,CA Osasuna,Spain,No,66,67,73,30.33333333,64.2,60,71.2,63.8,30.33333333,58.33333333
2808,225204,Ra?l Guti,CMCDM,6000000,1,14000,177,74,Elche CF,Spain,No,68,69,70,66.33333333,63.6,68.4,70.6,73.4,66.33333333,68
2810,225507,Pol Llonch,CDMCM,2700000,1,8000,171,70,Willem II,Spain,No,50,60,65,75.66666667,51.8,58.6,77.4,69.8,75.66666667,65.16666667
2812,225948,R. Lauritsen,CB,3600000,1,700,189,78,Dinamo Zagreb,Denmark,No,41,58,54,72.66666667,54,55.2,60.8,63.6,72.66666667,59.66666667
2813,225964,J. Carrascal,CAMLM,6000000,1,12000,179,70,River Plate,Colombia,No,67,70,81,40.33333333,63.6,74.2,78.8,62,40.33333333,64.33333333
2815,226370,Andr? Horta,CM,6000000,1,11000,175,62,SC Braga,Portugal,No,69,72,76,64,65.8,69.2,77.2,69.8,64,68.16666667
2816,226378,R. ?bila,ST,2600000,1,8000,176,93,D.C. United,Argentina,No,72,57,69,24.66666667,68.4,58.2,66.4,74,24.66666667,60.5
2817,226414,M. Coco,RMLMRW,3800000,1,20000,184,78,FC Nantes,France,No,69,68,72,44.66666667,68.6,60,78.8,64.2,44.66666667,61.16666667
2818,226436,H. ter Avest,RB,4500000,1,11000,182,78,FC Utrecht,Netherlands,No,53,67,71,70.33333333,60.6,60.2,69,62.6,70.33333333,60.83333333
2820,226539,Y. Namli,RMCAM,3200000,1,8000,180,70,Colorado Rapids,Denmark,No,59,70,78,42,60.2,73.6,75,59.4,42,61.66666667
2821,226604,D. Valoyes,RMSTLM,4200000,1,11000,181,76,Club Atl?tico Talleres,Colombia,No,69,67,74,50,65.6,67.6,77,67.8,50,64.5
2822,226861,S. Thioub,RMLMRW,3600000,1,19000,179,75,Angers SCO,Senegal,No,71,69,73,26.33333333,67,68.4,73.2,70.2,26.33333333,54.83333333
2823,226877,Ivo Rodrigues,RMLM,3600000,1,9000,180,75,Futebol Clube de Famalic?o,Portugal,No,70,69,75,38.66666667,64,69.6,74.6,71.6,38.66666667,64.33333333
2824,227227,D. ?lvarez,LMRMRW,3300000,1,8000,176,75,Puebla FC,Mexico,No,59,70,74,28,59.6,70.6,77.8,67.8,28,52.66666667
2825,227503,J. Bruun Larsen,LMLWST,6000000,1,23000,183,77,TSG Hoffenheim,Denmark,Yes,69,69,72,51.33333333,66.2,71.2,77,68.4,51.33333333,62.66666667
2827,227803,E. Mart?nez,LMRMCAM,3200000,1,1000,169,67,Barcelona Sporting Club,Argentina,No,64,68,75,34.66666667,59.8,61.2,71.4,61,34.66666667,55.16666667
2828,227884,B. Osayi-Samuel,RMRW,4800000,1,31000,175,72,Fenerbah?e SK,Nigeria,No,59,62,76,34.33333333,58,57.6,81.4,60.4,34.33333333,50
2830,228124,M. Jonji?,CB,2500000,1,12000,187,83,Shanghai Shenhua FC,Croatia,No,45,49,49,75.66666667,51.4,40.6,59.6,64.6,75.66666667,53
2831,228173,Ricardo Lopes,STRW,3000000,1,21000,184,77,Shanghai Port FC,Brazil,No,77,67,73,34.33333333,67.2,67.6,74.8,75,34.33333333,63.66666667
2832,228179,A. Castro,CMCF,3300000,1,12000,183,71,Club Atl?tico Col?n,Argentina,No,71,72,77,64.66666667,66.4,73.8,75.8,70.8,64.66666667,67.33333333
2835,228332,H. Choudhury,CDMCM,4000000,1,48000,178,64,Leicester City,England,Yes,45,62,66,75.66666667,53.6,60.2,67.6,63.2,75.66666667,64.16666667
2837,228415,L. Godoy,RBRWB,3700000,1,12000,173,70,Estudiantes de La Plata,Argentina,No,57,66,74,68.33333333,60.4,59.6,76.2,66.2,68.33333333,67.66666667
2841,228805,Raillo,CB,2500000,1,20000,187,80,RCD Mallorca,Spain,No,36,53,54,72.33333333,48.4,50.2,52.6,66.6,72.33333333,60.66666667
2843,228892,I. Rivero,CMRMCDM,3000000,1,46000,166,60,Cruz Azul,Uruguay,No,60,71,71,65.66666667,62.4,69.8,69.2,70.2,65.66666667,67.83333333
2844,228946,M. Svanberg,CMCDMRM,6000000,1,22000,185,77,Bologna,Sweden,No,66,74,76,63.33333333,59,71.8,72.4,69.2,63.33333333,66.33333333
2845,229010,S. Amallah,CAMCMLW,4600000,1,12000,186,82,Standard de Li?ge,Morocco,No,75,72,74,62.33333333,70.4,74.8,67.2,76.8,62.33333333,72.66666667
2849,229221,William,RBRM,3700000,1,38000,171,67,VfL Wolfsburg,Brazil,Yes,50,68,75,70,51.8,68.4,76.4,68.4,70,63.66666667
2851,229406,Jo?o Novais,CM,3200000,1,13000,183,77,Aytemiz Alanyaspor,Portugal,No,76,76,75,50,67.2,77.2,70.4,76.6,50,66.66666667
2853,229556,Allano,LWRW,3600000,1,7000,182,74,Santa Clara,Brazil,No,64,67,78,47.33333333,60.8,66.2,75.2,63.8,47.33333333,59.16666667
2855,229595,L. Rodr?guez,LMCAMCM,4800000,1,16000,168,64,Club Tijuana,Argentina,No,60,67,77,57.66666667,59.8,68.6,78.8,61.4,57.66666667,60
2857,229636,G. Pereiro,CAMRW,3800000,1,25000,188,75,Cagliari,Uruguay,Yes,73,70,77,35.33333333,70.2,75.6,67.6,72.4,35.33333333,63.33333333
2858,229667,Josan,RMRWB,2500000,1,16000,175,68,Elche CF,Spain,No,69,66,74,51.33333333,64.6,66.4,78.2,63.4,51.33333333,60.66666667
2860,229683,Rodrigo Pinho,ST,3000000,1,12000,185,78,SL Benfica,Brazil,No,77,60,73,21,65.6,64.8,66.2,70.4,21,57
2863,230170,Jaim Abra,GK,2100000,1,11000,188,81,Associa??o Chapecoense de Futebol,Brazil,No,,,,17.33333333,15.6,16.2,52.4,41.2,17.33333333,29.5
2864,230175,Freder Cabral,GK,2100000,1,21000,188,83,Clube Atl?tico Mineiro,Brazil,No,,,,13.66666667,15.2,18,48.8,38.8,13.66666667,31.83333333
2865,230209,Hugo Goiteira,CB,2500000,1,11000,190,88,Cear? Sporting Club,Brazil,No,48,55,51,72.33333333,55.6,53.6,43,65.6,72.33333333,57.66666667
2866,230215,Osvald?o Murilo,CBRBLB,3100000,1,9000,185,81,RB Bragantino,Brazil,No,49,53,54,76,52.4,53.2,65.2,57,76,61.5
2867,230242,L?cio Calegario,CMLB,3000000,1,30000,169,69,S?o Paulo,Brazil,No,65,69,70,70,57.4,65.4,71.2,72.2,70,69.16666667
2868,230246,Caio Chissano,LBLM,1600000,1,26000,173,74,S?o Paulo,Brazil,No,39,65,70,73,54.6,57.4,73.4,52.8,73,56.83333333
2869,230254,Paulson Junqueira,LB,3100000,1,20000,177,76,Sport Club Corinthians Paulista,Brazil,No,48,61,69,70.66666667,54.2,62.2,77.4,67.2,70.66666667,61
2870,230259,Juliano Mascarinhas,CDM,3000000,1,20000,183,80,Gr?mio,Brazil,No,53,65,64,73,56.4,60.4,64,68,73,65.83333333
2871,230276,Nicol?s Formido,CAMLMCM,3600000,1,16000,183,77,Internacional,Brazil,No,65,75,74,22.66666667,66.4,75.8,69.6,69.6,22.66666667,66.16666667
2872,230282,Guto Costinho,CB,1500000,1,26000,179,77,Palmeiras,Brazil,No,37,56,61,74,49,52.6,61.2,60.6,74,58.16666667
2873,230286,Michel Cruceiro,CDMCM,2600000,1,27000,185,82,Flamengo,Brazil,No,64,68,64,69.66666667,62.8,67.8,58,74.4,69.66666667,67.83333333
2874,230333,Jonas Damasto,LB,3100000,1,11000,177,69,Club Athletico Paranaense,Brazil,No,45,59,62,73,57.6,55,73.2,64,73,48.16666667
2875,230344,Jeffmeirson,LB,2700000,1,14000,179,77,RB Bragantino,Brazil,No,50,69,60,71.33333333,59.8,64,68.2,63.2,71.33333333,68.33333333
2876,230358,Tramontinaldo,RBRM,3100000,1,11000,175,71,Club Athletico Paranaense,Brazil,No,50,70,67,75.33333333,63.8,65.4,70.6,57.8,75.33333333,58.66666667
2877,230364,Neviano Neves,CMRM,3600000,1,17000,170,70,Sport Club Corinthians Paulista,Brazil,No,71,73,72,59,65,74.4,68,70.2,59,64.16666667
2878,230366,Silvosinho,RBRMRWB,3100000,1,19000,177,73,Santos,Brazil,No,54,64,64,71.33333333,61.8,60.6,67.8,68.6,71.33333333,60.66666667
2879,230397,Enaldo Toxeto,CB,550000,1,15000,181,79,Gr?mio,Brazil,No,54,58,64,71.66666667,60.4,58.6,65.4,68.2,71.66666667,59.5
2880,230408,Fabrio Farinha,CAMLM,3000000,1,22000,177,72,Internacional,Brazil,No,62,75,77,42.33333333,68.2,71.6,74.4,60,42.33333333,62.5
2881,230411,Brenito Duarte,RM,3000000,1,15000,181,72,Cuiab?,Brazil,No,71,70,73,38.66666667,64.6,69.8,72,68.4,38.66666667,61.66666667
2882,230424,Sandelas J?nior,CDM,2600000,1,20000,183,78,Santos,Brazil,No,53,65,64,71,56.6,60.6,63.2,69.8,71,63.5
2883,230432,Dagoberto Esteiro,ST,3400000,1,30000,178,75,S?o Paulo,Brazil,No,76,52,67,20.33333333,65,51.2,65.2,68.8,20.33333333,50.33333333
2884,230435,Luis Couprins,CDM,3200000,1,9000,177,72,Club Athletico Paranaense,Brazil,No,65,66,62,71,62.2,62,72,71.2,71,66.33333333
2885,230436,Nuno Lisareda,ST,3600000,1,19000,190,88,Sport Club Corinthians Paulista,Brazil,No,74,60,73,22.66666667,67.2,60,74.6,68.8,22.66666667,61.66666667
2886,230445,Rodolfo Pitta?a,STLM,3600000,1,12000,179,77,Cuiab?,Brazil,No,75,68,64,36.33333333,73.2,62,56.8,78.2,36.33333333,70.16666667
2887,230446,Marcos Paneira,CDMCMRM,3200000,1,8000,182,73,Bahia,Brazil,No,57,67,68,75.66666667,61.2,58.6,61.6,66,75.66666667,61.5
2888,230456,Claudiosa Paes,RW,1900000,1,31000,175,75,S?o Paulo,Brazil,No,63,71,74,51.33333333,56.2,70.4,73.4,64,51.33333333,57.16666667
2889,230462,Thio Rolim,LWLM,3400000,1,15000,169,67,Cuiab?,Brazil,No,69,69,73,39.33333333,66.4,63,75.6,60.4,39.33333333,58.16666667
2890,230482,Marlon Nideiro,CAM,3400000,1,22000,169,66,Gr?mio,Brazil,No,63,71,77,30,65.2,70.2,81.4,59.8,30,60.5
2891,230487,Leo Caldeirinha,CAMLM,3400000,1,19000,175,75,Juventude,Brazil,No,72,73,74,23.66666667,71.6,73.8,71,72.8,23.66666667,62
2892,230488,Alvildo Sousa,CAMCM,3400000,1,11000,183,79,Atl?tico Clube Goianiense,Brazil,No,69,72,73,26.33333333,68.6,70.6,69.6,70.8,26.33333333,62.16666667
2893,230493,Fabri Arnoia,RWCF,3000000,1,32000,175,73,Flamengo,Brazil,No,65,67,73,19.33333333,69.8,56.8,76.6,60,19.33333333,60
2894,230578,M. Diakhaby,CBCDM,4400000,1,20000,189,78,Valencia CF,France,No,38,53,58,72.33333333,49,46.8,57.4,60.4,72.33333333,61.83333333
2897,230918,T. Chalobah,CBCDMCM,5500000,1,43000,191,84,Chelsea,England,Yes,43,63,68,72.33333333,54,60,63.2,61.2,72.33333333,60
2898,231044,J. Aribo,CM,4600000,1,34000,183,76,Rangers FC,Nigeria,No,67,71,77,68,63.8,70.2,79.6,70.2,68,68.83333333
2900,231235,K. Amian,CBRB,3900000,1,12000,180,78,Spezia,France,No,48,63,68,73,59.2,60.4,75.8,69.8,73,62.66666667
2902,231445,J. Dasilva,CMCAMCDM,7000000,1,31000,184,75,Brentford,England,No,70,73,74,64,63.8,67,72.2,71.6,64,67.33333333
2904,231685,R. Pierre-Gabriel,RB,4300000,1,16000,177,80,Stade Brestois 29,France,No,48,60,69,72.33333333,56.2,56.8,72.4,69,72.33333333,61.33333333
2905,231864,M. van Bergen,RWLW,4900000,1,17000,170,62,Stade de Reims,Netherlands,No,65,64,75,26.33333333,59,65.4,86,58.4,26.33333333,51.66666667
2906,232008,Toni Lato,LBLMCB,4500000,1,20000,171,64,Valencia CF,Spain,Yes,56,71,71,69.66666667,66,65.8,75.2,58.2,69.66666667,61.5
2908,232270,T. Fosu-Mensah,RBCB,6000000,1,28000,185,80,Bayer 04 Leverkusen,Netherlands,Yes,60,64,65,73.33333333,63.4,57.4,70.6,69.8,73.33333333,64
2909,232437,F. Ricca,LBCB,3500000,1,18000,178,73,Club Brugge KV,Uruguay,Yes,52,60,67,72.66666667,53.4,55,70.4,72.6,72.66666667,60.33333333
2910,232610,T. Asano,RMLMCF,3300000,1,20000,173,71,VfL Bochum 1848,Japan,No,69,62,75,24.33333333,65.8,58.4,85.2,67.8,24.33333333,57.83333333
2911,232646,C. Bravo,LB,6000000,1,6000,170,69,Portland Timbers,Argentina,No,50,64,73,72.66666667,56.4,59.2,71.2,63,72.66666667,64.16666667
2912,232805,Bernardo,LBLWB,3500000,1,20000,186,76,FC Red Bull Salzburg,Brazil,Yes,49,61,68,73.66666667,56.8,54.4,69.2,73.6,73.66666667,62.5
2913,233084,N. Molina,RWBRM,6500000,1,11000,175,70,Udinese Calcio,Argentina,No,64,67,72,67,65.8,60.8,72.8,67.6,67,63.66666667
2914,233138,Y. Kobayashi,STRW,1900000,1,12000,177,72,Kawasaki Frontale,Japan,Yes,74,67,73,24.66666667,71.4,63.2,73.8,68.8,24.66666667,61.5
2915,233260,A. Vega,STCFCAM,7000000,1,34000,173,77,Club Deportivo Guadalajara,Mexico,No,74,72,77,27,68.2,70.2,76.2,74.8,27,59
2917,233585,Lincoln,CAMCM,7000000,1,6000,178,70,Santa Clara,Brazil,No,67,69,77,30.33333333,63.6,72,77.4,66.2,30.33333333,62
2918,233670,A. Fukumori,CB,2600000,1,6000,183,75,Hokkaido Consadole Sapporo,Japan,No,68,75,66,72.66666667,68.2,73,64.4,76.2,72.66666667,71.16666667
2919,233767,S. Alakouch,RB,4400000,1,12000,175,66,FC Metz,France,No,45,67,72,71.66666667,54.6,60.8,75.6,57,71.66666667,62.33333333
2920,233982,V?gner Corraldo,LB,3300000,1,9000,175,70,Club Athletico Paranaense,Brazil,No,59,63,69,72,61.8,60.8,74.4,69.6,72,63.83333333
2921,233984,Mardial Cunha,CB,3100000,1,8000,183,77,Fortaleza,Brazil,No,41,60,53,78.66666667,55,55,65.6,60,78.66666667,53.16666667
2923,234112,Dod?,RB,6500000,1,650,166,71,Shakhtar Donetsk,Brazil,No,58,64,73,66.66666667,61,60.2,82.8,66.4,66.66666667,61.83333333
2924,234122,Artur,CDMCM,3400000,1,7000,181,70,Columbus Crew,Brazil,Yes,51,65,71,72.33333333,55,65.2,67.6,66,72.33333333,66.5
2925,234575,Diogo Leite,CB,6500000,1,9000,188,73,SC Braga,Portugal,Yes,38,46,57,74,46.4,44.4,61.2,61.6,74,53.16666667
2926,234577,Diogo Costa,GK,6500000,1,5000,187,81,FC Porto,Portugal,Yes,,,,14.33333333,13.2,17.4,41,39.2,14.33333333,26.83333333
2927,234701,Maycon,CMCDM,4800000,1,750,175,76,Shakhtar Donetsk,Brazil,No,67,72,71,66.33333333,60.8,71.6,71,73.4,66.33333333,65.83333333
2930,234819,Guilherme,LM,3600000,1,14000,180,72,Al Faisaly,Brazil,No,73,64,74,21.66666667,66,65,77.2,68.4,21.66666667,55
2932,234870,E. Karaca,RMCAM,2500000,1,13000,166,56,Aytemiz Alanyaspor,Turkey,No,63,68,76,42,60.8,64.4,82.4,53,42,56.66666667
2933,234935,Jo?o Talocha,LB,2200000,1,9000,180,77,Gil Vicente FC,Portugal,No,38,62,67,68.66666667,55.8,56.8,69,60.8,68.66666667,59.33333333
2935,235036,W. Faes,CB,5500000,1,16000,187,82,Stade de Reims,Belgium,No,37,54,57,73.66666667,46,52.8,56.2,61.2,73.66666667,56.33333333
2938,235167,V. Janelt,CDMCM,5500000,1,28000,184,79,Brentford,Germany,No,62,66,68,70.33333333,60,61.2,67,72.4,70.33333333,66.83333333
2939,235176,C. Bernardi,RMLMCM,2500000,1,12000,177,73,Club Atl?tico Col?n,Argentina,No,71,68,76,51,67,72.6,78.8,66.6,51,63.66666667
2940,235290,K. Bonifazi,CB,4000000,1,22000,187,85,Bologna,Italy,No,35,51,56,76.33333333,46.8,47.6,57.2,52.4,76.33333333,57.16666667
2941,235407,S. ?zcan,CM,6000000,1,19000,180,74,1. FC K?ln,Germany,Yes,62,69,75,70.66666667,62,67,72.8,64.8,70.66666667,68.66666667
2942,235456,J. Bellegarde,CMRMCDM,6500000,1,17000,172,70,RC Strasbourg Alsace,France,No,60,69,75,69.33333333,60.2,63.2,79.4,66.4,69.33333333,65.83333333
2943,235522,Aleix Febas,CMCAMCDM,4400000,1,20000,171,61,RCD Mallorca,Spain,No,62,75,76,63.33333333,59.6,71.8,74.4,65,63.33333333,69.33333333
2944,235526,D. Geiger,CM,6000000,1,23000,173,67,TSG Hoffenheim,Germany,Yes,47,71,78,54.33333333,49.8,67.8,71.8,57.4,54.33333333,63.83333333
2945,235658,V. Nelsson,CB,6500000,1,32000,185,78,Galatasaray SK,Denmark,No,42,62,64,72.33333333,53.6,57.4,67.2,70,72.33333333,58.33333333
2946,235663,G. Til,CAMCM,4800000,1,35000,186,78,Feyenoord,Netherlands,No,71,69,73,56,66.6,68,69.8,68.6,56,69.33333333
2947,235781,Santi Comesa?a,CDMCM,4400000,1,13000,184,75,Rayo Vallecano,Spain,Yes,67,64,69,72.33333333,61,61.8,63.6,71.8,72.33333333,63
2948,235888,I. Cardona,ST,4400000,1,15000,185,76,Stade Brestois 29,France,No,74,67,72,21.33333333,69,66.2,69.8,73.4,21.33333333,56.83333333
2949,236075,Enzo Merques,LB,3100000,1,19000,187,76,Internacional,Brazil,No,64,70,73,68.33333333,67.6,71.4,69.8,71.4,68.33333333,68.16666667
2950,236076,Marlion Sim?es,LBCM,2700000,1,11000,180,75,Cear? Sporting Club,Brazil,No,56,59,70,71,58.4,57,76.4,71.4,71,63.33333333
2951,236109,Jorge Praceira,CB,2500000,1,27000,180,74,Palmeiras,Brazil,No,40,56,61,76,52.8,58.4,63.6,60.4,76,53.83333333
2952,236142,Nildo Reis?o,CDMCB,3000000,1,23000,191,90,Clube Atl?tico Mineiro,Brazil,No,41,61,47,76,46.6,47.6,50.8,66,76,61.16666667
2953,236190,Roberto Soira,CB,2900000,1,12000,187,83,Associa??o Chapecoense de Futebol,Brazil,No,45,52,63,76.66666667,51.4,52.8,55.4,61.4,76.66666667,60
2955,236331,E. Cabaco,CB,4000000,1,20000,186,75,Getafe CF,Uruguay,Yes,41,48,54,75,49.6,46.2,57.8,61.4,75,54.16666667
2957,236515,?lvaro,GK,6000000,1,7000,186,75,Brentford,Spain,No,,,,10.66666667,12.2,19.4,55.6,43.2,10.66666667,24.66666667
2958,236518,A. Nordin,RMLMST,4600000,1,21000,170,69,AS Saint-?tienne,France,No,69,68,75,31.66666667,65.4,66.2,75.4,67.2,31.66666667,54.83333333
2960,236537,G. Arteaga,LB,6000000,1,11000,174,65,KRC Genk,Mexico,No,53,67,71,68.33333333,59.2,63.2,77.4,62.6,68.33333333,61.33333333
2962,236624,A. Barkok,CAMRMCM,4800000,1,19000,189,82,Eintracht Frankfurt,Morocco,Yes,66,69,78,55.66666667,64.8,70.6,73.6,63.6,55.66666667,61
2964,236703,D. Raum,LBLM,6000000,1,20000,180,75,TSG Hoffenheim,Germany,No,59,66,74,64.33333333,62.2,62,79,68.2,64.33333333,61.5
2965,236822,G. Gudmundsson,LBLM,6500000,1,21000,181,72,LOSC Lille,Sweden,No,64,67,72,67.33333333,62.4,62,77,71.2,67.33333333,63.5
2967,236947,J. Torunarigha,CBLB,6500000,1,25000,191,80,Hertha BSC,Germany,Yes,34,63,65,74.66666667,52.4,52.2,67,58,74.66666667,62.33333333
