,sofifa_id,short_name,overall,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,player_face_url,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
2882,230424,Sandelas Júnior,73,CDM,2600000.0,1.0,20000.0,183,78,https://cdn.sofifa.net/players/230/424/22_120.png,Santos,Brazil,No,53.0,65.0,64.0,71.0,56.6,60.6,63.2,69.8,71.0,63.5
2883,230432,Dagoberto Esteiro,73,ST,3400000.0,1.0,30000.0,178,75,https://cdn.sofifa.net/players/230/432/22_120.png,São Paulo,Brazil,No,76.0,52.0,67.0,20.333333333333332,65.0,51.2,65.2,68.8,20.333333333333332,50.333333333333336
2884,230435,Luis Couprins,73,CDM,3200000.0,1.0,9000.0,177,72,https://cdn.sofifa.net/players/230/435/22_120.png,Club Athletico Paranaense,Brazil,No,65.0,66.0,62.0,71.0,62.2,62.0,72.0,71.2,71.0,66.33333333333333
2885,230436,Nuno Lisareda,73,ST,3600000.0,1.0,19000.0,190,88,https://cdn.sofifa.net/players/230/436/22_120.png,Sport Club Corinthians Paulista,Brazil,No,74.0,60.0,73.0,22.666666666666668,67.2,60.0,74.6,68.8,22.666666666666668,61.666666666666664
2886,230445,Rodolfo Pittaça,73,"ST, LM",3600000.0,1.0,12000.0,179,77,https://cdn.sofifa.net/players/230/445/22_120.png,Cuiabá,Brazil,No,75.0,68.0,64.0,36.333333333333336,73.2,62.0,56.8,78.2,36.333333333333336,70.16666666666667
2887,230446,Marcos Paneira,73,"CDM, CM, RM",3200000.0,1.0,8000.0,182,73,https://cdn.sofifa.net/players/230/446/22_120.png,Bahia,Brazil,No,57.0,67.0,68.0,75.66666666666667,61.2,58.6,61.6,66.0,75.66666666666667,61.5
2888,230456,Claudiosa Paes,73,RW,1900000.0,1.0,31000.0,175,75,https://cdn.sofifa.net/players/230/456/22_120.png,São Paulo,Brazil,No,63.0,71.0,74.0,51.333333333333336,56.2,70.4,73.4,64.0,51.333333333333336,57.166666666666664
2889,230462,Thio Rolim,73,"LW, LM",3400000.0,1.0,15000.0,169,67,https://cdn.sofifa.net/players/230/462/22_120.png,Cuiabá,Brazil,No,69.0,69.0,73.0,39.333333333333336,66.4,63.0,75.6,60.4,39.333333333333336,58.166666666666664
2890,230482,Marlon Nideiro,73,CAM,3400000.0,1.0,22000.0,169,66,https://cdn.sofifa.net/players/230/482/22_120.png,Grêmio,Brazil,No,63.0,71.0,77.0,30.0,65.2,70.2,81.4,59.8,30.0,60.5
2891,230487,Leo Caldeirinha,73,"CAM, LM",3400000.0,1.0,19000.0,175,75,https://cdn.sofifa.net/players/230/487/22_120.png,Juventude,Brazil,No,72.0,73.0,74.0,23.666666666666668,71.6,73.8,71.0,72.8,23.666666666666668,62.0
2892,230488,Alvildo Sousa,73,"CAM, CM",3400000.0,1.0,11000.0,183,79,https://cdn.sofifa.net/players/230/488/22_120.png,Atlético Clube Goianiense,Brazil,No,69.0,72.0,73.0,26.333333333333332,68.6,70.6,69.6,70.8,26.333333333333332,62.166666666666664
2893,230493,Fabri Arnoia,73,"RW, CF",3000000.0,1.0,32000.0,175,73,https://cdn.sofifa.net/players/230/493/22_120.png,Flamengo,Brazil,No,65.0,67.0,73.0,19.333333333333332,69.8,56.8,76.6,60.0,19.333333333333332,60.0
2894,230578,M. Diakhaby,73,"CB, CDM",4400000.0,1.0,20000.0,189,78,https://cdn.sofifa.net/players/230/578/22_120.png,Valencia CF,France,No,38.0,53.0,58.0,72.33333333333333,49.0,46.8,57.4,60.4,72.33333333333333,61.833333333333336
2897,230918,T. Chalobah,73,"CB, CDM, CM",5500000.0,1.0,43000.0,191,84,https://cdn.sofifa.net/players/230/918/22_120.png,Chelsea,England,Yes,43.0,63.0,68.0,72.33333333333333,54.0,60.0,63.2,61.2,72.33333333333333,60.0
2898,231044,J. Aribo,73,CM,4600000.0,1.0,34000.0,183,76,https://cdn.sofifa.net/players/231/044/22_120.png,Rangers FC,Nigeria,No,67.0,71.0,77.0,68.0,63.8,70.2,79.6,70.2,68.0,68.83333333333333
2900,231235,K. Amian,73,"CB, RB",3900000.0,1.0,12000.0,180,78,https://cdn.sofifa.net/players/231/235/22_120.png,Spezia,France,No,48.0,63.0,68.0,73.0,59.2,60.4,75.8,69.8,73.0,62.666666666666664
2902,231445,J. Dasilva,73,"CM, CAM, CDM",7000000.0,1.0,31000.0,184,75,https://cdn.sofifa.net/players/231/445/22_120.png,Brentford,England,No,70.0,73.0,74.0,64.0,63.8,67.0,72.2,71.6,64.0,67.33333333333333
2904,231685,R. Pierre-Gabriel,73,RB,4300000.0,1.0,16000.0,177,80,https://cdn.sofifa.net/players/231/685/22_120.png,Stade Brestois 29,France,No,48.0,60.0,69.0,72.33333333333333,56.2,56.8,72.4,69.0,72.33333333333333,61.333333333333336
2905,231864,M. van Bergen,73,"RW, LW",4900000.0,1.0,17000.0,170,62,https://cdn.sofifa.net/players/231/864/22_120.png,Stade de Reims,Netherlands,No,65.0,64.0,75.0,26.333333333333332,59.0,65.4,86.0,58.4,26.333333333333332,51.666666666666664
2906,232008,Toni Lato,73,"LB, LM, CB",4500000.0,1.0,20000.0,171,64,https://cdn.sofifa.net/players/232/008/22_120.png,Valencia CF,Spain,Yes,56.0,71.0,71.0,69.66666666666667,66.0,65.8,75.2,58.2,69.66666666666667,61.5
2908,232270,T. Fosu-Mensah,73,"RB, CB",6000000.0,1.0,28000.0,185,80,https://cdn.sofifa.net/players/232/270/22_120.png,Bayer 04 Leverkusen,Netherlands,Yes,60.0,64.0,65.0,73.33333333333333,63.4,57.4,70.6,69.8,73.33333333333333,64.0
2909,232437,F. Ricca,73,"LB, CB",3500000.0,1.0,18000.0,178,73,https://cdn.sofifa.net/players/232/437/22_120.png,Club Brugge KV,Uruguay,Yes,52.0,60.0,67.0,72.66666666666667,53.4,55.0,70.4,72.6,72.66666666666667,60.333333333333336
2910,232610,T. Asano,73,"RM, LM, CF",3300000.0,1.0,20000.0,173,71,https://cdn.sofifa.net/players/232/610/22_120.png,VfL Bochum 1848,Japan,No,69.0,62.0,75.0,24.333333333333332,65.8,58.4,85.2,67.8,24.333333333333332,57.833333333333336
2911,232646,C. Bravo,73,LB,6000000.0,1.0,6000.0,170,69,https://cdn.sofifa.net/players/232/646/22_120.png,Portland Timbers,Argentina,No,50.0,64.0,73.0,72.66666666666667,56.4,59.2,71.2,63.0,72.66666666666667,64.16666666666667
2912,232805,Bernardo,73,"LB, LWB",3500000.0,1.0,20000.0,186,76,https://cdn.sofifa.net/players/232/805/22_120.png,FC Red Bull Salzburg,Brazil,Yes,49.0,61.0,68.0,73.66666666666667,56.8,54.4,69.2,73.6,73.66666666666667,62.5
2913,233084,N. Molina,73,"RWB, RM",6500000.0,1.0,11000.0,175,70,https://cdn.sofifa.net/players/233/084/22_120.png,Udinese Calcio,Argentina,No,64.0,67.0,72.0,67.0,65.8,60.8,72.8,67.6,67.0,63.666666666666664
2914,233138,Y. Kobayashi,73,"ST, RW",1900000.0,1.0,12000.0,177,72,https://cdn.sofifa.net/players/233/138/22_120.png,Kawasaki Frontale,Japan,Yes,74.0,67.0,73.0,24.666666666666668,71.4,63.2,73.8,68.8,24.666666666666668,61.5
2915,233260,A. Vega,73,"ST, CF, CAM",7000000.0,1.0,34000.0,173,77,https://cdn.sofifa.net/players/233/260/22_120.png,Club Deportivo Guadalajara,Mexico,No,74.0,72.0,77.0,27.0,68.2,70.2,76.2,74.8,27.0,59.0
2917,233585,Lincoln,73,"CAM, CM",7000000.0,1.0,6000.0,178,70,https://cdn.sofifa.net/players/233/585/22_120.png,Santa Clara,Brazil,No,67.0,69.0,77.0,30.333333333333332,63.6,72.0,77.4,66.2,30.333333333333332,62.0
2918,233670,A. Fukumori,73,CB,2600000.0,1.0,6000.0,183,75,https://cdn.sofifa.net/players/233/670/22_120.png,Hokkaido Consadole Sapporo,Japan,No,68.0,75.0,66.0,72.66666666666667,68.2,73.0,64.4,76.2,72.66666666666667,71.16666666666667
2919,233767,S. Alakouch,73,RB,4400000.0,1.0,12000.0,175,66,https://cdn.sofifa.net/players/233/767/22_120.png,FC Metz,France,No,45.0,67.0,72.0,71.66666666666667,54.6,60.8,75.6,57.0,71.66666666666667,62.333333333333336
2920,233982,Vágner Corraldo,73,LB,3300000.0,1.0,9000.0,175,70,https://cdn.sofifa.net/players/233/982/22_120.png,Club Athletico Paranaense,Brazil,No,59.0,63.0,69.0,72.0,61.8,60.8,74.4,69.6,72.0,63.833333333333336
2921,233984,Mardial Cunha,73,CB,3100000.0,1.0,8000.0,183,77,https://cdn.sofifa.net/players/233/984/22_120.png,Fortaleza,Brazil,No,41.0,60.0,53.0,78.66666666666667,55.0,55.0,65.6,60.0,78.66666666666667,53.166666666666664
2923,234112,Dodô,73,RB,6500000.0,1.0,650.0,166,71,https://cdn.sofifa.net/players/234/112/22_120.png,Shakhtar Donetsk,Brazil,No,58.0,64.0,73.0,66.66666666666667,61.0,60.2,82.8,66.4,66.66666666666667,61.833333333333336
2924,234122,Artur,73,"CDM, CM",3400000.0,1.0,7000.0,181,70,https://cdn.sofifa.net/players/234/122/22_120.png,Columbus Crew,Brazil,Yes,51.0,65.0,71.0,72.33333333333333,55.0,65.2,67.6,66.0,72.33333333333333,66.5
2925,234575,Diogo Leite,73,CB,6500000.0,1.0,9000.0,188,73,https://cdn.sofifa.net/players/234/575/22_120.png,SC Braga,Portugal,Yes,38.0,46.0,57.0,74.0,46.4,44.4,61.2,61.6,74.0,53.166666666666664
2926,234577,Diogo Costa,73,GK,6500000.0,1.0,5000.0,187,81,https://cdn.sofifa.net/players/234/577/22_120.png,FC Porto,Portugal,Yes,,,,14.333333333333334,13.2,17.4,41.0,39.2,14.333333333333334,26.833333333333332
2927,234701,Maycon,73,"CM, CDM",4800000.0,1.0,750.0,175,76,https://cdn.sofifa.net/players/234/701/22_120.png,Shakhtar Donetsk,Brazil,No,67.0,72.0,71.0,66.33333333333333,60.8,71.6,71.0,73.4,66.33333333333333,65.83333333333333
2930,234819,Guilherme,73,LM,3600000.0,1.0,14000.0,180,72,https://cdn.sofifa.net/players/234/819/22_120.png,Al Faisaly,Brazil,No,73.0,64.0,74.0,21.666666666666668,66.0,65.0,77.2,68.4,21.666666666666668,55.0
2932,234870,E. Karaca,73,"RM, CAM",2500000.0,1.0,13000.0,166,56,https://cdn.sofifa.net/players/234/870/22_120.png,Aytemiz Alanyaspor,Turkey,No,63.0,68.0,76.0,42.0,60.8,64.4,82.4,53.0,42.0,56.666666666666664
2933,234935,João Talocha,73,LB,2200000.0,1.0,9000.0,180,77,https://cdn.sofifa.net/players/234/935/22_120.png,Gil Vicente FC,Portugal,No,38.0,62.0,67.0,68.66666666666667,55.8,56.8,69.0,60.8,68.66666666666667,59.333333333333336
2935,235036,W. Faes,73,CB,5500000.0,1.0,16000.0,187,82,https://cdn.sofifa.net/players/235/036/22_120.png,Stade de Reims,Belgium,No,37.0,54.0,57.0,73.66666666666667,46.0,52.8,56.2,61.2,73.66666666666667,56.333333333333336
2938,235167,V. Janelt,73,"CDM, CM",5500000.0,1.0,28000.0,184,79,https://cdn.sofifa.net/players/235/167/22_120.png,Brentford,Germany,No,62.0,66.0,68.0,70.33333333333333,60.0,61.2,67.0,72.4,70.33333333333333,66.83333333333333
2939,235176,C. Bernardi,73,"RM, LM, CM",2500000.0,1.0,12000.0,177,73,https://cdn.sofifa.net/players/235/176/22_120.png,Club Atlético Colón,Argentina,No,71.0,68.0,76.0,51.0,67.0,72.6,78.8,66.6,51.0,63.666666666666664
2940,235290,K. Bonifazi,73,CB,4000000.0,1.0,22000.0,187,85,https://cdn.sofifa.net/players/235/290/22_120.png,Bologna,Italy,No,35.0,51.0,56.0,76.33333333333333,46.8,47.6,57.2,52.4,76.33333333333333,57.166666666666664
2941,235407,S. Özcan,73,CM,6000000.0,1.0,19000.0,180,74,https://cdn.sofifa.net/players/235/407/22_120.png,1. FC Köln,Germany,Yes,62.0,69.0,75.0,70.66666666666667,62.0,67.0,72.8,64.8,70.66666666666667,68.66666666666667
2942,235456,J. Bellegarde,73,"CM, RM, CDM",6500000.0,1.0,17000.0,172,70,https://cdn.sofifa.net/players/235/456/22_120.png,RC Strasbourg Alsace,France,No,60.0,69.0,75.0,69.33333333333333,60.2,63.2,79.4,66.4,69.33333333333333,65.83333333333333
2943,235522,Aleix Febas,73,"CM, CAM, CDM",4400000.0,1.0,20000.0,171,61,https://cdn.sofifa.net/players/235/522/22_120.png,RCD Mallorca,Spain,No,62.0,75.0,76.0,63.333333333333336,59.6,71.8,74.4,65.0,63.333333333333336,69.33333333333333
2944,235526,D. Geiger,73,CM,6000000.0,1.0,23000.0,173,67,https://cdn.sofifa.net/players/235/526/22_120.png,TSG Hoffenheim,Germany,Yes,47.0,71.0,78.0,54.333333333333336,49.8,67.8,71.8,57.4,54.333333333333336,63.833333333333336
2945,235658,V. Nelsson,73,CB,6500000.0,1.0,32000.0,185,78,https://cdn.sofifa.net/players/235/658/22_120.png,Galatasaray SK,Denmark,No,42.0,62.0,64.0,72.33333333333333,53.6,57.4,67.2,70.0,72.33333333333333,58.333333333333336
2946,235663,G. Til,73,"CAM, CM",4800000.0,1.0,35000.0,186,78,https://cdn.sofifa.net/players/235/663/22_120.png,Feyenoord,Netherlands,No,71.0,69.0,73.0,56.0,66.6,68.0,69.8,68.6,56.0,69.33333333333333
2947,235781,Santi Comesaña,73,"CDM, CM",4400000.0,1.0,13000.0,184,75,https://cdn.sofifa.net/players/235/781/22_120.png,Rayo Vallecano,Spain,Yes,67.0,64.0,69.0,72.33333333333333,61.0,61.8,63.6,71.8,72.33333333333333,63.0
2948,235888,I. Cardona,73,ST,4400000.0,1.0,15000.0,185,76,https://cdn.sofifa.net/players/235/888/22_120.png,Stade Brestois 29,France,No,74.0,67.0,72.0,21.333333333333332,69.0,66.2,69.8,73.4,21.333333333333332,56.833333333333336
2949,236075,Enzo Merques,73,LB,3100000.0,1.0,19000.0,187,76,https://cdn.sofifa.net/players/236/075/22_120.png,Internacional,Brazil,No,64.0,70.0,73.0,68.33333333333333,67.6,71.4,69.8,71.4,68.33333333333333,68.16666666666667
2950,236076,Marlion Simões,73,"LB, CM",2700000.0,1.0,11000.0,180,75,https://cdn.sofifa.net/players/236/076/22_120.png,Ceará Sporting Club,Brazil,No,56.0,59.0,70.0,71.0,58.4,57.0,76.4,71.4,71.0,63.333333333333336
2951,236109,Jorge Praceira,73,CB,2500000.0,1.0,27000.0,180,74,https://cdn.sofifa.net/players/236/109/22_120.png,Palmeiras,Brazil,No,40.0,56.0,61.0,76.0,52.8,58.4,63.6,60.4,76.0,53.833333333333336
2952,236142,Nildo Reisão,73,"CDM, CB",3000000.0,1.0,23000.0,191,90,https://cdn.sofifa.net/players/236/142/22_120.png,Clube Atlético Mineiro,Brazil,No,41.0,61.0,47.0,76.0,46.6,47.6,50.8,66.0,76.0,61.166666666666664
2953,236190,Roberto Soira,73,CB,2900000.0,1.0,12000.0,187,83,https://cdn.sofifa.net/players/236/190/22_120.png,Associação Chapecoense de Futebol,Brazil,No,45.0,52.0,63.0,76.66666666666667,51.4,52.8,55.4,61.4,76.66666666666667,60.0
2955,236331,E. Cabaco,73,CB,4000000.0,1.0,20000.0,186,75,https://cdn.sofifa.net/players/236/331/22_120.png,Getafe CF,Uruguay,Yes,41.0,48.0,54.0,75.0,49.6,46.2,57.8,61.4,75.0,54.166666666666664
2957,236515,Álvaro,73,GK,6000000.0,1.0,7000.0,186,75,https://cdn.sofifa.net/players/236/515/22_120.png,Brentford,Spain,No,,,,10.666666666666666,12.2,19.4,55.6,43.2,10.666666666666666,24.666666666666668
2958,236518,A. Nordin,73,"RM, LM, ST",4600000.0,1.0,21000.0,170,69,https://cdn.sofifa.net/players/236/518/22_120.png,AS Saint-Étienne,France,No,69.0,68.0,75.0,31.666666666666668,65.4,66.2,75.4,67.2,31.666666666666668,54.833333333333336
2960,236537,G. Arteaga,73,LB,6000000.0,1.0,11000.0,174,65,https://cdn.sofifa.net/players/236/537/22_120.png,KRC Genk,Mexico,No,53.0,67.0,71.0,68.33333333333333,59.2,63.2,77.4,62.6,68.33333333333333,61.333333333333336
2962,236624,A. Barkok,73,"CAM, RM, CM",4800000.0,1.0,19000.0,189,82,https://cdn.sofifa.net/players/236/624/22_120.png,Eintracht Frankfurt,Morocco,Yes,66.0,69.0,78.0,55.666666666666664,64.8,70.6,73.6,63.6,55.666666666666664,61.0
2964,236703,D. Raum,73,"LB, LM",6000000.0,1.0,20000.0,180,75,https://cdn.sofifa.net/players/236/703/22_120.png,TSG Hoffenheim,Germany,No,59.0,66.0,74.0,64.33333333333333,62.2,62.0,79.0,68.2,64.33333333333333,61.5
2965,236822,G. Gudmundsson,73,"LB, LM",6500000.0,1.0,21000.0,181,72,https://cdn.sofifa.net/players/236/822/22_120.png,LOSC Lille,Sweden,No,64.0,67.0,72.0,67.33333333333333,62.4,62.0,77.0,71.2,67.33333333333333,63.5
2967,236947,J. Torunarigha,73,"CB, LB",6500000.0,1.0,25000.0,191,80,https://cdn.sofifa.net/players/236/947/22_120.png,Hertha BSC,Germany,Yes,34.0,63.0,65.0,74.66666666666667,52.4,52.2,67.0,58.0,74.66666666666667,62.333333333333336
2968,237000,R. Cannon,73,RB,6500000.0,1.0,10000.0,180,75,https://cdn.sofifa.net/players/237/000/22_120.png,Boavista FC,United States,Yes,36.0,60.0,70.0,68.33333333333333,50.2,55.6,79.6,64.0,68.33333333333333,56.5
2970,237122,T. Guidara,73,"RB, RWB",3700000.0,1.0,11000.0,173,70,https://cdn.sofifa.net/players/237/122/22_120.png,Vélez Sarsfield,Argentina,No,41.0,62.0,67.0,68.33333333333333,51.4,57.6,71.6,62.4,68.33333333333333,59.833333333333336
2971,237131,J. Rodríguez,73,CDM,4300000.0,1.0,17000.0,171,61,https://cdn.sofifa.net/players/237/131/22_120.png,Club León,Mexico,No,44.0,66.0,67.0,74.33333333333333,53.8,60.0,70.8,58.4,74.33333333333333,62.833333333333336
2972,237223,J. Gressel,73,"RM, RWB, CAM",3200000.0,1.0,8000.0,185,84,https://cdn.sofifa.net/players/237/223/22_120.png,D.C. United,Germany,Yes,64.0,73.0,70.0,63.0,66.4,69.4,67.8,71.8,63.0,68.83333333333333
2974,237496,D. Mihailovic,73,"CAM, CM, LM",4400000.0,1.0,7000.0,178,69,https://cdn.sofifa.net/players/237/496/22_120.png,Club de Foot Montréal,United States,No,65.0,73.0,74.0,55.666666666666664,65.6,70.6,70.0,67.2,55.666666666666664,66.16666666666667
2975,237525,A. Bodart,73,GK,3900000.0,1.0,8000.0,186,80,https://cdn.sofifa.net/players/237/525/22_120.png,Standard de Liège,Belgium,No,,,,12.0,15.8,21.4,34.8,39.6,12.0,25.666666666666668
2976,237532,Rodrigo,73,"RB, RWB, RM",2800000.0,1.0,1000.0,176,73,https://cdn.sofifa.net/players/237/532/22_120.png,PAOK,Brazil,No,60.0,73.0,73.0,70.0,59.6,71.2,73.6,74.6,70.0,70.0
2978,237715,P. Cutrone,73,ST,4700000.0,1.0,51000.0,183,79,https://cdn.sofifa.net/players/237/715/22_120.png,Empoli,Italy,No,71.0,55.0,71.0,24.666666666666668,66.2,59.0,71.4,68.8,24.666666666666668,58.333333333333336
2980,238126,Guridi,73,CM,4000000.0,1.0,24000.0,179,64,https://cdn.sofifa.net/players/238/126/22_120.png,Real Sociedad,Spain,Yes,63.0,67.0,75.0,59.0,57.0,63.6,70.8,58.8,59.0,62.0
2982,238332,E. Copetti,73,"ST, RW",4100000.0,1.0,16000.0,180,88,https://cdn.sofifa.net/players/238/332/22_120.png,Racing Club,Argentina,No,72.0,62.0,69.0,46.333333333333336,66.6,56.0,77.6,81.0,46.333333333333336,66.16666666666667
2983,238660,N. Sangaré,73,"RB, RM",3200000.0,1.0,32000.0,185,72,https://cdn.sofifa.net/players/238/660/22_120.png,Fenerbahçe SK,Turkey,No,44.0,62.0,72.0,69.0,53.6,60.8,78.4,70.0,69.0,60.166666666666664
2984,238856,Pedro Sá,73,"CDM, CM",3500000.0,1.0,7000.0,185,81,https://cdn.sofifa.net/players/238/856/22_120.png,Portimonense SC,Portugal,No,55.0,62.0,67.0,69.66666666666667,53.8,62.6,66.6,76.6,69.66666666666667,62.666666666666664
2986,239025,I. Niane,73,"ST, LW, RW",7000000.0,1.0,15000.0,187,73,https://cdn.sofifa.net/players/239/025/22_120.png,FC Metz,Senegal,No,74.0,54.0,71.0,14.333333333333334,63.8,59.4,71.8,71.4,14.333333333333334,52.5
2987,239045,E. Kılınç,73,"RM, CM, LM",3300000.0,1.0,40000.0,174,68,https://cdn.sofifa.net/players/239/045/22_120.png,Galatasaray SK,Turkey,No,69.0,67.0,74.0,43.0,58.2,65.8,77.6,63.8,43.0,63.0
2989,239356,A. Matusiwa,73,"CDM, CM",5500000.0,1.0,16000.0,173,72,https://cdn.sofifa.net/players/239/356/22_120.png,Stade de Reims,Netherlands,No,47.0,58.0,67.0,72.66666666666667,50.6,57.2,67.8,71.8,72.66666666666667,63.666666666666664
2990,239452,I. Diallo,73,"CDM, CM",6000000.0,1.0,31000.0,179,68,https://cdn.sofifa.net/players/239/452/22_120.png,Southampton,France,Yes,48.0,64.0,70.0,70.66666666666667,51.8,60.4,69.0,63.4,70.66666666666667,68.0
2991,239704,K. Wagner,73,"LB, LWB, LM",3800000.0,1.0,6000.0,182,78,https://cdn.sofifa.net/players/239/704/22_120.png,Philadelphia Union,Germany,Yes,43.0,62.0,68.0,72.33333333333333,56.4,64.0,69.2,69.6,72.33333333333333,54.0
2992,239712,M. Okugawa,73,"CAM, ST",4000000.0,1.0,19000.0,177,62,https://cdn.sofifa.net/players/239/712/22_120.png,DSC Arminia Bielefeld,Japan,No,65.0,68.0,78.0,32.666666666666664,68.0,68.4,77.8,53.0,32.666666666666664,57.5
2993,239744,M. Cuisance,73,"CM, CAM, CDM",7000000.0,1.0,35000.0,181,74,https://cdn.sofifa.net/players/239/744/22_120.png,FC Bayern München,France,Yes,67.0,78.0,77.0,55.0,65.2,79.0,73.4,68.0,55.0,61.5
2995,239970,Paulinho,73,"CAM, LW, RW",6500000.0,1.0,26000.0,177,77,https://cdn.sofifa.net/players/239/970/22_120.png,Bayer 04 Leverkusen,Brazil,Yes,67.0,69.0,80.0,32.666666666666664,62.4,71.6,76.2,65.8,32.666666666666664,58.833333333333336
2996,240064,O. Ba,73,CB,3800000.0,1.0,1000.0,192,84,https://cdn.sofifa.net/players/240/064/22_120.png,Olympiacos CFP,Senegal,No,31.0,46.0,56.0,73.0,43.8,46.4,65.4,61.6,73.0,53.333333333333336
2999,240452,M. Nzola,73,"ST, RW",4400000.0,1.0,14000.0,185,82,https://cdn.sofifa.net/players/240/452/22_120.png,Spezia,France,No,70.0,59.0,68.0,24.0,64.8,61.4,73.2,71.6,24.0,58.5
3000,240744,M. Ojeda,73,"RM, LM",4900000.0,1.0,14000.0,179,78,https://cdn.sofifa.net/players/240/744/22_120.png,Godoy Cruz,Argentina,No,71.0,69.0,74.0,29.0,66.6,71.6,78.2,66.0,29.0,60.0
3001,240926,N. Phillips,73,CB,4400000.0,1.0,52000.0,190,84,https://cdn.sofifa.net/players/240/926/22_120.png,Liverpool,England,Yes,30.0,49.0,51.0,73.0,45.4,44.4,54.6,59.8,73.0,53.833333333333336
3002,240953,N. Tenaglia,73,"RB, CB",4200000.0,1.0,11000.0,181,70,https://cdn.sofifa.net/players/240/953/22_120.png,Club Atlético Talleres,Argentina,No,43.0,63.0,72.0,72.0,54.2,55.4,72.4,63.4,72.0,66.66666666666667
3004,241159,M. Guéhi,73,CB,6000000.0,1.0,26000.0,185,75,https://cdn.sofifa.net/players/241/159/22_120.png,Crystal Palace,England,No,31.0,49.0,64.0,74.33333333333333,45.2,48.6,68.2,58.4,74.33333333333333,52.166666666666664
3006,241463,Dani Raba,73,"RM, CAM",4000000.0,1.0,23000.0,184,76,https://cdn.sofifa.net/players/241/463/22_120.png,Villarreal CF,Spain,No,71.0,72.0,73.0,37.333333333333336,63.0,67.2,64.4,61.6,37.333333333333336,61.333333333333336
3009,241856,Manu Morlanes,73,"CDM, CM",6500000.0,1.0,19000.0,178,75,https://cdn.sofifa.net/players/241/856/22_120.png,RCD Espanyol de Barcelona,Spain,No,62.0,73.0,75.0,69.33333333333333,63.4,72.6,72.6,64.4,69.33333333333333,67.83333333333333
3010,241925,C. Führich,73,"RM, ST",4800000.0,1.0,19000.0,178,69,https://cdn.sofifa.net/players/241/925/22_120.png,VfB Stuttgart,Germany,No,66.0,68.0,74.0,56.666666666666664,63.8,65.6,79.6,65.8,56.666666666666664,59.666666666666664
3011,241928,A. Sambi Lokonga,73,"CM, CDM",7000000.0,1.0,40000.0,183,73,https://cdn.sofifa.net/players/241/928/22_120.png,Arsenal,Belgium,No,58.0,72.0,77.0,65.66666666666667,63.6,73.8,68.8,68.6,65.66666666666667,66.0
3012,241937,A. Harroui,73,"CDM, CM, RM",5500000.0,1.0,8000.0,182,76,https://cdn.sofifa.net/players/241/937/22_120.png,U.S. Sassuolo Calcio,Netherlands,No,68.0,70.0,75.0,68.0,63.6,68.8,72.2,77.4,68.0,65.83333333333333
3015,242087,H. Morita,73,"CDM, CM",3600000.0,1.0,6000.0,177,72,https://cdn.sofifa.net/players/242/087/22_120.png,Santa Clara,Japan,No,60.0,71.0,74.0,71.0,55.6,66.8,68.2,66.2,71.0,64.83333333333333
3016,242287,F. Ortega,73,"LB, LWB, LW",6000000.0,1.0,10000.0,177,75,https://cdn.sofifa.net/players/242/287/22_120.png,Vélez Sarsfield,Argentina,No,58.0,67.0,76.0,63.666666666666664,60.8,64.0,81.0,71.4,63.666666666666664,67.16666666666667
3017,242434,C. Jones,73,CM,7500000.0,1.0,49000.0,185,75,https://cdn.sofifa.net/players/242/434/22_120.png,Liverpool,England,Yes,65.0,70.0,76.0,62.666666666666664,61.2,68.0,70.0,68.6,62.666666666666664,68.66666666666667
3018,242641,R. Aït Nouri,73,"LWB, LB",6500000.0,1.0,35000.0,179,70,https://cdn.sofifa.net/players/242/641/22_120.png,Wolverhampton Wanderers,France,Yes,42.0,63.0,73.0,71.33333333333333,56.0,62.2,73.2,48.8,71.33333333333333,57.5
3019,242969,N. Baumann,73,GK,3800000.0,1.0,7000.0,192,83,https://cdn.sofifa.net/players/242/969/22_120.png,FC Lugano,Switzerland,No,,,,17.333333333333332,11.8,16.4,37.4,42.2,17.333333333333332,26.166666666666668
3021,243315,Dani Gómez,73,ST,4900000.0,1.0,21000.0,178,69,https://cdn.sofifa.net/players/243/315/22_120.png,Levante Unión Deportiva,Spain,No,74.0,60.0,73.0,35.0,63.4,61.2,72.0,70.0,35.0,57.666666666666664
3022,243593,A. Laurienté,73,"RM, RW",6000000.0,1.0,14000.0,171,59,https://cdn.sofifa.net/players/243/593/22_120.png,FC Lorient,France,No,72.0,70.0,76.0,35.666666666666664,65.4,75.6,76.0,62.2,35.666666666666664,55.833333333333336
3024,243976,Catena,73,CB,3500000.0,1.0,15000.0,194,82,https://cdn.sofifa.net/players/243/976/22_120.png,Rayo Vallecano,Spain,No,39.0,54.0,50.0,74.66666666666667,49.2,47.2,63.4,63.4,74.66666666666667,56.166666666666664
3028,244675,Sancet,73,"ST, CAM",7000000.0,1.0,17000.0,188,72,https://cdn.sofifa.net/players/244/675/22_120.png,Athletic Club de Bilbao,Spain,No,71.0,67.0,76.0,46.333333333333336,68.4,64.8,70.0,62.8,46.333333333333336,64.33333333333333
